rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.8892,0.7784,1.0,1.0,14,6,False,True
2,frame_0080.jpg,32.0,0.8272,0.8504,0.8333,0.76,12,5,False,True
3,frame_0030.jpg,12.0,0.7865,0.773,0.6667,1.0,8,4,False,False
4,frame_0069.jpg,27.6,0.7691,0.6383,0.8333,1.0,11,5,False,True
5,frame_0033.jpg,13.2,0.7352,0.5704,0.8333,1.0,12,5,False,False
6,frame_0076.jpg,30.4,0.7351,0.7022,0.6667,0.92,12,4,False,False
7,frame_0017.jpg,6.8,0.7328,0.6656,0.6667,1.0,8,4,False,True
8,frame_0171.jpg,68.4,0.7165,0.657,1.0,0.44,11,6,False,True
9,frame_0293.jpg,117.2,0.7073,0.7106,0.6667,0.76,8,4,False,True
10,frame_0003.jpg,1.2,0.7006,0.6011,0.6667,1.0,8,4,False,True
11,frame_0133.jpg,53.2,0.7005,0.6009,0.6667,1.0,12,4,False,True
12,frame_0125.jpg,50.0,0.6981,0.7081,0.6667,0.72,10,4,False,True
13,frame_0067.jpg,26.8,0.6935,0.487,0.8333,1.0,14,5,False,False
14,frame_0021.jpg,8.4,0.6814,0.7629,0.3333,1.0,10,2,False,False
15,frame_0085.jpg,34.0,0.6681,0.6122,0.8333,0.56,10,5,False,True
16,frame_0026.jpg,10.4,0.6666,0.5332,0.6667,1.0,10,4,False,True
17,frame_0287.jpg,114.8,0.6554,0.6387,0.6667,0.68,10,4,False,True
18,frame_0006.jpg,2.4,0.6545,0.6091,0.5,1.0,12,3,False,False
19,frame_0022.jpg,8.8,0.6537,0.6074,0.5,1.0,9,3,False,False
20,frame_0321.jpg,128.4,0.6414,0.8028,0.6667,0.2,13,4,False,False
21,frame_0302.jpg,120.8,0.6357,0.7113,0.6667,0.4,11,4,False,False
22,frame_0024.jpg,9.6,0.6348,0.4696,0.6667,1.0,9,4,False,False
23,frame_0230.jpg,92.0,0.6319,0.8158,0.6667,0.12,12,4,False,False
24,frame_0307.jpg,122.8,0.6197,0.7594,0.6667,0.2,10,4,False,False
25,frame_0295.jpg,118.0,0.6181,0.5641,0.6667,0.68,12,4,False,False
26,frame_0290.jpg,116.0,0.618,0.716,0.3333,0.8,9,2,False,False
27,frame_0373.jpg,149.2,0.6178,0.6716,0.8333,0.16,13,5,False,False
28,frame_0282.jpg,112.8,0.6136,0.7352,0.5,0.48,9,3,False,False
29,frame_0327.jpg,130.8,0.6132,0.7104,0.8333,0.04,15,5,False,False
30,frame_0013.jpg,5.2,0.6107,0.6214,0.3333,1.0,4,2,False,False
31,frame_0211.jpg,84.4,0.6094,0.5628,0.6667,0.64,8,4,False,False
